"object_id","term_taxonomy_id","term_order"
"1076","96","0"
"1076","120","0"
"1076","83","0"
"1076","5","0"
"1083","61","0"
"1083","121","0"
"1083","7","0"
"1276","23","0"
"1097","31","0"
"1097","32","0"
"1097","33","0"
"1125","52","0"
"1125","17","0"
"1125","5","0"
"1137","74","0"
"1137","7","0"
"1137","5","0"
"1156","108","0"
"1156","17","0"
"1156","5","0"
"1179","122","0"
"1179","7","0"
"1179","5","0"
"1191","58","0"
"1191","59","0"
"1191","5","0"
"1206","50","0"
"1206","17","0"
"1206","54","0"
"1206","5","0"
"1224","13","0"
"1224","7","0"
"1224","5","0"
"1249","18","0"
"1249","76","0"
"1249","5","0"
"1249","55","0"
"1258","123","0"
"1258","11","0"
"1258","121","0"
"1258","5","0"
"1268","12","0"
"1268","7","0"
"1268","5","0"
"1276","5","0"
"1276","7","0"
"1283","31","0"
"1278","91","0"
"1278","21","0"
"1278","5","0"
"1283","30","0"
"1283","120","0"
"1283","83","0"
"1323","15","0"
"1287","4","0"
"1287","78","0"
"1287","55","0"
"1289","25","0"
"1289","8","0"
"1289","5","0"
"1221","94","0"
"1221","8","0"
"1221","121","0"
"1232","62","0"
"1232","36","0"
"1232","82","0"
"1251","124","0"
"1251","17","0"
"1251","5","0"
"1296","24","0"
"1296","21","0"
"1296","5","0"
"1298","74","0"
"1298","7","0"
"1298","5","0"
"1304","110","0"
"1304","37","0"
"1304","85","0"
"1304","5","0"
"1306","40","0"
"1306","41","0"
"1306","5","0"
"1311","118","0"
"1311","11","0"
"1311","5","0"
"1318","37","0"
"1318","38","0"
"1318","5","0"
"1321","16","0"
"1321","17","0"
"1321","5","0"
"1323","5","0"
"1323","7","0"
"1388","31","0"
"1376","118","0"
"1376","11","0"
"1376","5","0"
"1382","87","0"
"1382","7","0"
"1382","5","0"
"1385","125","0"
"1385","126","0"
"1385","5","0"
"1388","39","0"
"1388","127","0"
"1422","37","0"
"1420","128","0"
"1420","31","0"
"1420","5","0"
"1422","30","0"
"1422","51","0"
"1426","129","0"
"1426","30","0"
"1426","37","0"
"1426","85","0"
"1314","130","0"
"1432","65","0"
"1432","107","0"
"1432","7","0"
"1432","55","0"
"1537","31","0"
"1537","119","0"
"1537","5","0"
"1308","90","0"
"1308","43","0"
"1308","44","0"
"1308","5","0"
"1314","39","0"
"1314","131","0"
"1314","44","0"
"1330","26","0"
"1316","14","0"
"1316","11","0"
"1316","5","0"
"1330","5","0"
"1330","7","0"
"1335","31","0"
"1332","8","0"
"1332","9","0"
"1332","5","0"
"1335","39","0"
"1335","32","0"
"1397","37","0"
"1379","72","0"
"1379","132","0"
"1379","5","0"
"1397","39","0"
"1397","51","0"
"1401","37","0"
"1401","39","0"
"1401","51","0"
"1365","7","0"
"1405","124","0"
"1405","17","0"
"1405","133","0"
"1405","5","0"
"1409","4","0"
"1409","78","0"
"1409","5","0"
"1440","108","0"
"1440","17","0"
"1440","5","0"
"1445","134","0"
"1445","135","0"
"1445","44","0"
"1445","5","0"
"1456","18","0"
"1456","76","0"
"1456","53","0"
"1459","18","0"
"1459","76","0"
"1459","5","0"
"1490","27","0"
"1490","28","0"
"1490","54","0"
"1490","33","0"
"1502","13","0"
"1502","7","0"
"1502","5","0"
"1577","115","0"
"1577","46","0"
"1577","5","0"
"1629","50","0"
"1629","17","0"
"1629","5","0"
"1699","77","0"
"1699","31","0"
"1699","39","0"
"1325","43","0"
"1325","44","0"
"1325","57","0"
"1325","5","0"
"1327","43","0"
"1327","42","0"
"1327","44","0"
"1327","5","0"
