"meta_id","comment_id","meta_key","meta_value"
"135","92","akismet_history","a:4:{s:4:""time"";s:13:""1304543336.34"";s:7:""message"";s:28:""Akismet cleared this comment"";s:5:""event"";s:9:""check-ham"";s:4:""user"";s:0:"""";}"
"137","92","akismet_history","a:4:{s:4:""time"";s:13:""1304544331.27"";s:7:""message"";s:44:""admin changed the comment status to approved"";s:5:""event"";s:15:""status-approved"";s:4:""user"";s:5:""admin"";}"
"138","93","akismet_result","false"
"139","93","akismet_history","a:4:{s:4:""time"";s:10:""1307628778"";s:7:""message"";s:28:""Akismet cleared this comment"";s:5:""event"";s:9:""check-ham"";s:4:""user"";s:0:"""";}"
"141","93","akismet_history","a:4:{s:4:""time"";s:13:""1307629419.06"";s:7:""message"";s:44:""admin changed the comment status to approved"";s:5:""event"";s:15:""status-approved"";s:4:""user"";s:5:""admin"";}"
"142","94","akismet_history","a:4:{s:4:""time"";s:13:""1306183840.09"";s:7:""message"";s:44:""admin changed the comment status to approved"";s:5:""event"";s:15:""status-approved"";s:4:""user"";s:5:""admin"";}"
"151","97","akismet_history","a:4:{s:4:""time"";s:12:""1319685269.8"";s:7:""message"";s:47:""chicagoa changed the comment status to approved"";s:5:""event"";s:15:""status-approved"";s:4:""user"";s:8:""chicagoa"";}"
"150","96","akismet_history","a:4:{s:4:""time"";s:13:""1318972355.09"";s:7:""message"";s:47:""chicagoa changed the comment status to approved"";s:5:""event"";s:15:""status-approved"";s:4:""user"";s:8:""chicagoa"";}"
"147","96","akismet_result","false"
"148","96","akismet_history","a:4:{s:4:""time"";s:13:""1317999423.43"";s:7:""message"";s:28:""Akismet cleared this comment"";s:5:""event"";s:9:""check-ham"";s:4:""user"";s:0:"""";}"
"191","119","akismet_result","false"
"192","119","akismet_history","a:4:{s:4:""time"";s:13:""1332952028.53"";s:7:""message"";s:28:""Akismet cleared this comment"";s:5:""event"";s:9:""check-ham"";s:4:""user"";s:0:"""";}"
"194","119","akismet_history","a:4:{s:4:""time"";s:13:""1332952073.84"";s:7:""message"";s:43:""ACRE changed the comment status to approved"";s:5:""event"";s:15:""status-approved"";s:4:""user"";s:4:""ACRE"";}"
